Date (UTC),Time (UTC),Latitude,Longitude,Heading,Speed (kn)
2021-07-22,20:28,51.496690000000001,4.0559700000000003,204.09999999999999,0.0
2021-07-22,20:34,51.496690000000001,4.0559799999999999,204.09999999999999,0.0
2021-07-22,20:37,51.496690000000001,4.0559799999999999,204.09999999999999,0.0
2021-07-22,20:37,51.496690000000001,4.0559799999999999,204.09999999999999,0.0
2021-07-22,20:46,51.496699999999997,4.0560200000000002,184.09999999999999,0.0
2021-07-22,20:52,51.496690000000001,4.0559799999999999,184.09999999999999,0.0
2021-07-22,20:58,51.496679999999998,4.0560200000000002,184.09999999999999,0.0
2021-07-22,21:04,51.496679999999998,4.0560299999999998,184.09999999999999,0.0
2021-07-22,21:10,51.496679999999998,4.056,184.09999999999999,0.0
2021-07-22,21:16,51.496679999999998,4.0560099999999997,184.09999999999999,0.0
2021-07-22,21:16,51.496679999999998,4.0560099999999997,184.09999999999999,0.0
2021-07-22,21:25,51.496690000000001,4.0560200000000002,184.09999999999999,0.0
2021-07-22,21:31,51.496699999999997,4.0560099999999997,184.09999999999999,0.0
2021-07-22,21:31,51.496699999999997,4.0560099999999997,184.09999999999999,0.0
2021-07-22,21:37,51.496699999999997,4.0560099999999997,184.09999999999999,0.0
2021-07-22,21:43,51.496699999999997,4.0560099999999997,184.09999999999999,0.0
2021-07-22,21:49,51.496699999999997,4.0560099999999997,184.09999999999999,0.0
2021-07-22,21:55,51.496699999999997,4.0560099999999997,184.09999999999999,0.0
2021-07-22,22:01,51.496699999999997,4.0560099999999997,184.09999999999999,0.0
2021-07-22,22:01,51.496699999999997,4.0560099999999997,184.09999999999999,0.0
2021-07-22,22:10,51.496699999999997,4.0560099999999997,184.09999999999999,0.0
2021-07-22,22:16,51.496679999999998,4.0560299999999998,16.800000000000001,0.0
2021-07-22,22:16,51.496679999999998,4.0560299999999998,16.800000000000001,0.0
2021-07-22,22:25,51.496670000000002,4.056,16.800000000000001,0.0
2021-07-22,22:31,51.496670000000002,4.056,16.800000000000001,0.0
2021-07-22,22:31,51.496670000000002,4.056,16.800000000000001,0.0
2021-07-22,22:37,51.496670000000002,4.0559900000000004,16.800000000000001,0.0
2021-07-22,22:43,51.496679999999998,4.0559900000000004,16.800000000000001,0.0
2021-07-22,22:43,51.496679999999998,4.0559900000000004,16.800000000000001,0.0
2021-07-22,22:55,51.496690000000001,4.0559900000000004,16.800000000000001,0.0
2021-07-22,22:55,51.496690000000001,4.0559900000000004,16.800000000000001,0.0
2021-07-22,23:04,51.496690000000001,4.056,16.800000000000001,0.0
2021-07-22,23:10,51.496699999999997,4.0559700000000003,16.800000000000001,0.0
2021-07-22,23:15,51.496769999999998,4.0559700000000003,164.40000000000001,0.0
2021-07-22,23:21,51.496420000000001,4.0559799999999999,182.40000000000001,0.0
2021-07-22,23:24,51.496470000000002,4.0559900000000004,332.5,0.0
2021-07-22,23:30,51.496670000000002,4.0559700000000003,292.0,0.0
2021-07-22,23:36,51.496670000000002,4.0559799999999999,292.0,0.0
2021-07-22,23:39,51.496670000000002,4.0559799999999999,292.0,0.0
2021-07-22,23:45,51.496679999999998,4.0559799999999999,292.0,0.0
2021-07-22,23:52,51.49671,4.0560499999999999,87.299999999999997,0.0
2021-07-22,23:55,51.496729999999999,4.0560099999999997,56.5,0.0
2021-07-22,23:58,51.496740000000003,4.056,56.5,0.0
